query,Review URL,Extracted Vendor,Number of Reviews,Average Stars,Number of 1 Star Reviews,Number of 2 Stars Reviews,Number of 3 Stars Reviews,Number of 4 Stars Reviews,Number of 5 Stars Reviews,Name,Number of Stars,Comment,Time,Owner Response,Owner Response Time,API URL
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Kristin Hodgkinson,5,"A pleasant breakfast brunch with work colleagues. This venue wasn’t our first choice but as our booking at The Ivy Cafe Marylebone was cancelled due to a gas problem in the kitchen, we were taken here.A lovely choice, great food, very tasty and filling. I could eat this every day! Yum.",2021-09-09 22:27:33,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Noah Pearlman,1,My wife I booked Christmas lunch here.. based on a nice lunch she had earlier inThe year and the previous reviews. This was Possibly the worst meal we’ve ever had! The service was also terrible except for a great waitress. See picture of our Christmas pudding!,2021-12-26 13:29:29,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Tina Vilaca,5,"Contemporaneous clear brightly-lit modern atmosphere restaurant with lovely friendly staff and great food. We had the luck to attend with the 50% discount, which was a big plus -- finally one of us was celebrating his birthday, and we then had 4 flutes of champagne, offered by 28-50 which was delicious and a great start of our super long lunch!Off Oxford Street shopping area, it is a great option for a shopping spree lunch break, or simply meeting up with friends who you hadn't seen in ages, due to covid restrictions, which are now lifting!Loved the visit, would certainly go again soon!",2022-01-30 20:36:11,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Anna Nikolaeva,5,"A great restaurant for food and for drinks. A great variety of wines and absolutely amazing charcuterie boards. Spend a wonderful evening there, would certainly come back to try more.",2021-12-07 13:33:25,"Dear Anna,Thank you so much for your 5-star review.Your comments have been passed on to the team who are delighted!We look forward to welcoming you back in the new year.Kind regards,Ginny",2021-12-24 13:34:56,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Emma Alice,5,Love this wine bar & restaurant. The food is consistently fantastic and Chocolate Madeline's are to die for!,2022-05-21 20:33:49,"Dear Emma,Thank you for your lovely 5-star review.We are so pleased to hear how much you love 28-50 Marylebone.We hope to see you back soon!(P.S The Chocolate Madeleine's are our favourite too!)Kind regards,Ginny",2022-05-28 09:52:26,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i00!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Or Yarimi,5,Delicious food and very professional service. Recommended for lunch and dinner.,2022-01-01 18:29:31,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Tracy Jawhar,4,"Great spot for gossip catch-up, first or second date, or serious business meeting - over nibbles and a great selection of wine.",2022-02-10 14:49:44,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Amberli Ferszt,5,"Chic restaurant with stunning decor, great music and the most delicious food and drink. To top it off, incredibly kind and attentive service every time you come - they really do make an effort. Dog friendly too! The decor and music mean that even on a Monday or Tuesday night, the vibe is good, without being too loud. Can't recommend enough!!",2022-06-11 14:33:42,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Petros Chrisostomou,5,"Great little find! The service, food and Jazz/JazzFunk band was 1st class on the night.  Highly recommend!",2021-11-24 06:19:28,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,James Yates,4,"Good food (modest portions - not necessarily a bad thing!), nice wine list and fairly reasonable prices. Good service. Table not too cramped.",2022-04-11 17:58:43,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Jana Abelovská,5,"🥩FILLET STEAK with peppercorn sauce and chips - AMAZING! Haven’t had a steak for more than 4 months and almost forgot what a pleasure it is to enjoy one. Medium-rare (swipe right to see the cut) - juicy, well seasoned. Pure perfection!.🦀CRAB SALAD - crab is my new seafood favourite and it was combined very well with the mango & avocado puree 🥭🥑.HUMMUS & PITA BREAD - freshly made pita with some paprika flavoured hummus..Selection of ICE-CREAMS and SORBETS 🍦🍨.Strawberry TARTELETTE with vanilla creme patissiere - cherry on top to the perfect lunch 🍓.Bottle of Chateau de Candie Viognier - restaurant’s own produce from the French Alps 🍾.The whole experience was just perfect. From the service to the food and drinks, I was in seventh heaven.Regarding the COVID measures: all the staff were wearing masks, sanitiser at the entrance and near toilets. Most of the tables nicely spread out with outside seating available..Verdict: I can highly recommend for any occasion - you won’t be disappointed! ☺️",2020-09-06 08:35:07,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Anca Capotescu,5,"Its been the most wonderful experience ever.  Amazing food, friendly staff and excellent location in the heart of Marylebone Village. I would highly recommend this wine bar for gourmet food and wine options.the photos complimet the food but can't really describe how beautiful it tastes 😍",2020-09-13 18:20:53,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Charalampos Triantafyllidis,3,"Nice wine list, quite extensive.We ordered some cheese, hummous and olives. All were good i would say.Biggest let down was the staff which seemed quite disorganized. Painful to order and even pay. Maybe staff was new.",2022-07-19 16:49:51,"Dear Charalampos,Thank you for sharing your thoughts on our wine list and food.Service issues and staffing was an easier problem prior to Brexit, but with so few skilled workers in the UK and the British governments refusal to help, running restaurants is the hardest we have ever known it.As a French company who has spent years trying to build a reputation in London, it is deeply frustrating. However, the staff we do have are working so hard despite the difficulties.Once again, thank you for the positive aspects of your review.Kind regards,Ginny",2022-07-22 11:06:55,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,Linnéa Mäntymäki,4,"Great food & drinks, lovely staff! Reasonable waiting time. Small place but not too crowded on a friday night:) Would go there again!",2022-06-11 12:07:12,"Dear Linnéa,Thank you for reviewing us, we are so pleased you enjoyed 28-50 Marylebone for food and drinks on a Friday night.We hope to see you soon.Kind regards,Ginny",2022-06-19 13:54:26,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
28-50 Wine Workshop & Kitchen,"https://www.google.com/maps/place/28-50+Wine+Workshop+%26+Kitchen/@53.800651,-4.064941,6z/data=!4m5!3m4!1s0x487604b3349a37c1:0x9e3f34127548dcef!8m2!3d51.5163815!4d-0.1504676",28-50 Wine Workshop %26 Kitchen,500,4.3,10,17,50,160,263,A G.S,1,"Hugely expensive for a hugely disappointing service and food. The pictures online & the “pitch” must be for a very different restaurant than this place. The service was shocking, 90 minutes from entering to serve main course. The meat (steaks) was cold and overcooked on the outside, red raw on the inside, while the vegitarians option (Savoy cabbage and mushroom sauce), was a veg spring roll, effectively, served as a main course for £17! We didn’t pay service charge & judging by the look on the girls face, this wasn’t the first time that had happened. There were 3 other tables to serve in the whole restaurant and they had one waitress. Appalling. Do not go. Visit the exquisite delamina opposite.",2022-05-21 19:30:22,None,None,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=uk&pb=!1m2!1y5221365985710847937!2y11402890035407150319!2m2!1i10!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sl7jbYuG4LNDqgQbT3rbgBQ!7e81
